Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total GiB Read,Total GiB WRitten,Total Logical Size in  Gib,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time
10.26.1.78-admin-Applications,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Applications'],False,11-28-2021 12:18:02,11-28-2021 12:35:47,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-admin-Claims,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Claims'],False,11-28-2021 12:18:02,11-28-2021 12:35:49,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-DW,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\DW'],False,11-28-2021 12:18:02,11-28-2021 12:35:46,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-EA,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EA'],False,11-28-2021 12:18:02,11-28-2021 12:35:51,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-admin-Finance,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Finance'],False,11-28-2021 12:18:02,11-28-2021 12:35:51,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-Governanace,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Governanace'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-admin-IntOps,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IntOps'],False,11-28-2021 12:19:00,11-28-2021 12:36:57,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-IT,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IT'],False,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-admin-Phoenix,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Phoenix'],False,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-admin-Public,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Public'],False,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-Risk-Compliance,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Risk-Compliance'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-Security-Guards,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Security-Guards'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-admin-Underwriting,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Underwriting'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-users,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\users'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-Executive,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Executive'],False,11-28-2021 10:30:01,11-28-2021 10:47:46,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 10:30:00
share,kView,,Savage_replicate,14,No extended retention,['share'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2014PRD,kView,,Savage_replicate,14,No extended retention,['IR2014PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2015PRD,kView,,Savage_replicate,14,No extended retention,['IR2015PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2016PRD,kView,,Savage_replicate,14,No extended retention,['IR2016PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2017PRD,kView,,Savage_replicate,14,No extended retention,['IR2017PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2018PRD,kView,,Savage_replicate,14,No extended retention,['IR2018PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2019PRD,kView,,Savage_replicate,14,No extended retention,['IR2019PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2020PRD,kView,,Savage_replicate,14,No extended retention,['IR2020PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2021PRD,kView,,Savage_replicate,14,No extended retention,['IR2021PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
EIPIR,kView,,Savage_replicate,14,No extended retention,['EIPIR'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
EIPPROD,kView,,Savage_replicate,14,No extended retention,['EIPPROD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
Applications,kView,,Savage_replicate,14,No extended retention,['Applications'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
admin-Claims,kView,,Savage_replicate,14,No extended retention,['admin-Claims'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
DW,kView,,Savage_replicate,14,No extended retention,['DW'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
EA,kView,,Savage_replicate,14,No extended retention,['EA'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Executive,kView,,Savage_replicate,14,No extended retention,['Executive'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Finance,kView,,Savage_replicate,14,No extended retention,['Finance'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Governanace,kView,,Savage_replicate,14,No extended retention,['Governanace'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
IntOps,kView,,Savage_replicate,14,No extended retention,['IntOps'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
IT,kView,,Savage_replicate,14,No extended retention,['IT'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
admin-Phoenix,kView,,Savage_replicate,14,No extended retention,['admin-Phoenix'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Public,kView,,Savage_replicate,14,No extended retention,['Public'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Risk-Compliance,kView,,Savage_replicate,14,No extended retention,['Risk-Compliance'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Security-Guards,kView,,Savage_replicate,14,No extended retention,['Security-Guards'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
Underwriting,kView,,Savage_replicate,14,No extended retention,['Underwriting'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
users,kView,,Savage_replicate,14,No extended retention,['users'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
dttc_test3,kPhysical,,Bronze,30,90,['10.26.1.78'],False,11-28-2021 15:14:00,11-28-2021 15:25:13,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 15:14:01
WinDevtest,kPhysical,,Protect Once,14,No extended retention,['10.26.0.91'],False,11-24-2021 04:00:33,11-24-2021 04:08:43,19.865535736083984,99.9970703125,99.9970703125,No Replicatoin Cluster,kSuccess,No Previous Run Found,
Test,kPhysical,,Bronze,30,90,['10.26.0.91'],False,11-29-2021 05:13:00,11-29-2021 05:14:08,0.614990234375,99.9970703125,99.9970703125,No Replicatoin Cluster,kSuccess,kSuccess,11-28-2021 05:13:02
testDevShare0,kIsilon,,COLO-SMB_DS_DAILY,14,No extended retention,['/ifs/testDev/testDev0'],False,11-29-2021 06:57:13,11-29-2021 07:06:00,2.829357981681824e-05,4.244036972522736e-05,4.244036972522736e-05,No Replicatoin Cluster,kSuccess,kCanceled,11-29-2021 06:52:44
viewDevProtect,kView,,viewDevPolicy,14,No extended retention,['viewDev'],False,11-29-2021 04:00:00,11-29-2021 04:00:04,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,No Previous Run Found,
