Job Name,Environment,Description,Current Date,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total GiB Read,Total GiB WRitten,Total Logical Size in  Gib,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time
10.26.1.78-EIPIR,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPIR'],False,11-28-2021 18:32:00,11-28-2021 18:49:44,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:32:00
10.26.1.78-EIPPROD,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPPROD'],False,11-28-2021 18:32:00,11-28-2021 18:49:44,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:32:00
10.26.1.78-admin-Applications,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Applications'],False,11-28-2021 12:18:02,11-28-2021 12:35:47,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-admin-Claims,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Claims'],False,11-28-2021 12:18:02,11-28-2021 12:35:49,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-DW,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\DW'],False,11-28-2021 12:18:02,11-28-2021 12:35:46,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-EA,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EA'],False,11-28-2021 12:18:02,11-28-2021 12:35:51,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-admin-Finance,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Finance'],False,11-28-2021 12:18:02,11-28-2021 12:35:51,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:18:01
10.26.1.78-Governanace,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Governanace'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-admin-IntOps,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IntOps'],False,11-28-2021 12:19:00,11-28-2021 12:36:57,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-IT,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IT'],False,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
