0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total Bytes Read,Total Logical Backup Size,Replication Target,Latest Backup Run Status,Previous Backup Status
10.26.1.78-dtcctest,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\dtcctest'],False,11-18-2021 16:56:00,11-18-2021 17:13:45,0,0,No Replicatoin Cluster,kFailure,kFailure
fccitest-02,kView,,Savage_replicate,14,No extended retention,['fccitest-02'],False,11-19-2021 10:15:36,11-19-2021 10:15:40,0,0,AshishCluster,kSuccess,kSuccess
fccitest-03,kView,,Savage_replicate,14,No extended retention,['fccitest-03'],False,11-19-2021 09:10:02,11-19-2021 09:10:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
fccitest-04,kView,,Savage_replicate,14,No extended retention,['fccitest-04'],False,11-19-2021 09:10:02,11-19-2021 09:10:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
10.26.1.78-share,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\share'],False,11-18-2021 18:31:01,11-18-2021 18:48:49,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2014PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2014PRD'],False,11-18-2021 18:31:01,11-18-2021 18:48:49,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2015PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2015PRD'],False,11-18-2021 18:31:01,11-18-2021 18:48:51,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2016PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2016PRD'],False,11-18-2021 18:31:01,11-18-2021 18:48:45,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2017PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2017PRD'],False,11-18-2021 18:31:01,11-18-2021 18:48:51,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2018PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2018PRD'],False,11-18-2021 18:32:02,11-18-2021 18:49:52,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2019PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2019PRD'],False,11-18-2021 18:32:02,11-18-2021 18:49:44,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2020PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2020PRD'],False,11-18-2021 18:32:02,11-18-2021 18:49:48,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2021PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2021PRD'],False,11-18-2021 18:32:02,11-18-2021 18:49:54,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-EIPIR,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPIR'],False,11-18-2021 18:32:02,11-18-2021 18:49:50,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-EIPPROD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPPROD'],False,11-18-2021 18:32:02,11-18-2021 18:49:46,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-Applications,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Applications'],False,11-18-2021 12:18:00,11-18-2021 12:35:45,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-Claims,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Claims'],False,11-18-2021 12:18:00,11-18-2021 12:35:44,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-DW,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\DW'],False,11-18-2021 12:18:00,11-18-2021 12:35:49,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-EA,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EA'],False,11-18-2021 12:18:00,11-18-2021 12:35:47,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-Finance,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Finance'],False,11-18-2021 12:18:00,11-18-2021 12:35:44,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-Governanace,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Governanace'],False,11-18-2021 12:19:01,11-18-2021 12:36:51,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-IntOps,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IntOps'],False,11-18-2021 12:19:01,11-18-2021 12:36:51,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IT,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IT'],False,11-18-2021 12:19:01,11-18-2021 12:36:48,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-Phoenix,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Phoenix'],False,11-18-2021 12:19:01,11-18-2021 12:36:52,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-Public,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Public'],False,11-18-2021 12:19:01,11-18-2021 12:36:52,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-Risk-Compliance,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Risk-Compliance'],False,11-18-2021 12:19:01,11-18-2021 12:36:51,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-Security-Guards,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Security-Guards'],False,11-18-2021 12:19:01,11-18-2021 12:36:50,0,0,No Replicatoin Cluster,kFailure,kFailure
