0,1,2,3,4,5,6,7,8,9,10,11,12
Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Total Bytes Read,Total Logical Backup Size,Replication Target,Latest Backup Run Status,Previous Backup Status
10.26.1.78-admin-IntOps,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IntOps'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IT,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IT'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-Phoenix,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Phoenix'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-Public,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Public'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-Risk-Compliance,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Risk-Compliance'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-Security-Guards,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Security-Guards'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-admin-Underwriting,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Underwriting'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-users,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\users'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-Executive,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Executive'],False,0,0,No Replicatoin Cluster,kRunning,kFailure
share,kView,,Savage_replicate,14,No extended retention,['share'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2014PRD,kView,,Savage_replicate,14,No extended retention,['IR2014PRD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2015PRD,kView,,Savage_replicate,14,No extended retention,['IR2015PRD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2016PRD,kView,,Savage_replicate,14,No extended retention,['IR2016PRD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2017PRD,kView,,Savage_replicate,14,No extended retention,['IR2017PRD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2018PRD,kView,,Savage_replicate,14,No extended retention,['IR2018PRD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2019PRD,kView,,Savage_replicate,14,No extended retention,['IR2019PRD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2020PRD,kView,,Savage_replicate,14,No extended retention,['IR2020PRD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2021PRD,kView,,Savage_replicate,14,No extended retention,['IR2021PRD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
EIPIR,kView,,Savage_replicate,14,No extended retention,['EIPIR'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
EIPPROD,kView,,Savage_replicate,14,No extended retention,['EIPPROD'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Applications,kView,,Savage_replicate,14,No extended retention,['Applications'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
admin-Claims,kView,,Savage_replicate,14,No extended retention,['admin-Claims'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
DW,kView,,Savage_replicate,14,No extended retention,['DW'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
EA,kView,,Savage_replicate,14,No extended retention,['EA'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Executive,kView,,Savage_replicate,14,No extended retention,['Executive'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Finance,kView,,Savage_replicate,14,No extended retention,['Finance'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Governanace,kView,,Savage_replicate,14,No extended retention,['Governanace'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IntOps,kView,,Savage_replicate,14,No extended retention,['IntOps'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IT,kView,,Savage_replicate,14,No extended retention,['IT'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
admin-Phoenix,kView,,Savage_replicate,14,No extended retention,['admin-Phoenix'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Public,kView,,Savage_replicate,14,No extended retention,['Public'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Risk-Compliance,kView,,Savage_replicate,14,No extended retention,['Risk-Compliance'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Security-Guards,kView,,Savage_replicate,14,No extended retention,['Security-Guards'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Underwriting,kView,,Savage_replicate,14,No extended retention,['Underwriting'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
users,kView,,Savage_replicate,14,No extended retention,['users'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
dttc_test3,kPhysical,,Bronze,30,90,['10.26.1.78'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
