0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Job Name,Environment,Description,Current Date,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total GiB Read,Total GiB Written,Total Logical Size in  GiB,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time,Previous Job End Time,Previous Total GiB Written
10.26.1.78-IR2014PRD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2014PRD'],False,11-28-2021 18:31:00,11-28-2021 18:48:45,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:31:00,11-27-2021 18:48:43,0.0
10.26.1.78-IR2015PRD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2015PRD'],False,11-28-2021 18:31:00,11-28-2021 18:48:50,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:31:00,11-27-2021 18:48:49,0.0
10.26.1.78-IR2016PRD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2016PRD'],False,11-28-2021 18:31:00,11-28-2021 18:48:45,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:31:00,11-27-2021 18:48:47,0.0
10.26.1.78-IR2017PRD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2017PRD'],False,11-28-2021 18:31:00,11-28-2021 18:48:47,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:31:00,11-27-2021 18:48:43,0.0
10.26.1.78-IR2018PRD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2018PRD'],False,11-28-2021 18:32:00,11-28-2021 18:49:46,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:32:00,11-27-2021 18:50:03,0.0
10.26.1.78-IR2019PRD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2019PRD'],False,11-28-2021 18:32:00,11-28-2021 18:49:46,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:32:00,11-27-2021 18:50:05,0.0
10.26.1.78-IR2020PRD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2020PRD'],False,11-28-2021 18:32:00,11-28-2021 18:49:44,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:32:00,11-27-2021 18:50:03,0.0
10.26.1.78-IR2021PRD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2021PRD'],False,11-28-2021 18:32:00,11-28-2021 18:49:44,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:32:00,11-27-2021 18:50:05,0.0
10.26.1.78-EIPIR,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPIR'],False,11-28-2021 18:32:00,11-28-2021 18:49:44,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:32:00,11-27-2021 18:49:49,0.0
10.26.1.78-EIPPROD,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPPROD'],False,11-28-2021 18:32:00,11-28-2021 18:49:44,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 18:32:00,11-27-2021 18:50:05,0.0
